embryo_id,bf_f_infocus,if_zsum,Score_str,Uniformly_sampled_timepoint,cv0_split0,cv0_split1,cv0_split2,cv0_split3,cv0_split4,cv1_split0,cv1_split1,cv1_split2,cv1_split3,cv1_split4,cv2_split0,cv2_split1,cv2_split2,cv2_split3,cv2_split4,cv3_split0,cv3_split1,cv3_split2,cv3_split3,cv3_split4,cv4_split0,cv4_split1,cv4_split2,cv4_split3,cv4_split4
ds1_018,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_018.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_018.tif,normal,153,train,train,train,train,test,train,train,train,train,test,test,train,train,train,train,train,train,train,train,test,train,train,train,val,test
ds1_019,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_019.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_019.tif,normal,140,val,train,test,train,train,train,train,train,test,train,train,test,train,train,train,train,test,train,train,val,val,val,test,train,train
ds1_020,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_020.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_020.tif,abnormal,134,train,train,train,val,test,train,train,train,test,train,test,train,train,train,train,train,test,train,train,train,train,train,train,test,val
ds1_021,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_021.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_021.tif,abnormal,147,train,train,val,train,test,train,train,train,val,test,train,test,train,train,val,test,train,train,train,train,test,train,train,train,val
ds1_022,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_022.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_022.tif,abnormal,133,train,train,test,val,val,test,train,train,train,train,test,train,train,val,train,test,train,train,train,train,val,train,val,train,test
ds1_023,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_023.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_023.tif,normal,128,train,train,train,train,test,val,val,test,train,train,train,train,train,test,val,test,train,train,train,train,val,test,val,train,train
ds1_024,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_024.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_024.tif,abnormal,145,test,train,train,val,train,train,train,val,val,test,test,train,train,train,val,train,test,train,train,train,test,train,train,train,train
ds1_025,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_025.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_025.tif,abnormal,121,train,test,train,val,val,test,train,train,val,val,train,test,train,train,train,train,train,train,val,test,train,train,test,val,train
ds1_026,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_026.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_026.tif,abnormal,129,train,train,train,test,val,val,train,train,test,train,train,train,train,train,test,val,train,train,train,test,train,val,test,train,val
ds1_027,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_027.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_027.tif,abnormal,141,train,train,train,train,test,train,val,train,test,val,val,test,train,train,train,test,train,train,train,train,val,test,train,train,train
ds1_028,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_028.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_028.tif,abnormal,130,train,val,train,train,test,test,train,train,train,train,train,test,train,train,val,train,train,train,test,val,train,train,test,train,train
ds1_029,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_029.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_029.tif,normal,134,train,val,test,train,train,train,train,test,val,val,val,train,train,train,test,train,test,train,train,train,test,train,train,train,train
ds1_030,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_030.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_030.tif,abnormal,149,train,train,train,train,test,train,train,train,test,train,train,train,val,train,test,train,train,test,train,train,val,test,val,train,train
ds1_031,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_031.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_031.tif,normal,153,train,train,train,test,train,test,train,train,train,train,test,train,train,train,train,train,val,train,train,test,test,train,train,train,train
ds1_032,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_032.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_032.tif,normal,153,train,test,train,train,train,train,test,train,train,train,train,train,train,train,test,test,train,train,train,train,train,train,train,train,test
ds1_033,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_033.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_033.tif,abnormal,140,train,train,test,train,train,train,train,train,test,train,val,test,train,train,train,val,train,test,train,train,train,test,train,train,train
ds1_034,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_034.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_034.tif,abnormal,133,train,val,test,train,train,val,val,train,train,test,train,test,train,val,train,train,train,test,train,val,train,train,val,test,val
ds1_035,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_035.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_035.tif,abnormal,139,test,train,train,train,train,train,train,test,val,train,train,train,test,val,val,train,val,train,test,train,train,train,train,test,val
ds1_036,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_036.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_036.tif,abnormal,138,val,train,val,test,train,train,train,train,val,test,val,train,test,train,train,train,val,test,val,train,train,train,train,train,test
ds1_037,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_037.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_037.tif,abnormal,140,train,test,train,train,train,train,train,train,test,train,train,train,train,test,train,test,val,train,val,train,train,train,train,test,val
ds1_038,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_038.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_038.tif,abnormal,121,test,train,val,train,train,test,train,val,train,train,val,val,train,test,train,train,train,val,test,train,test,val,train,train,train
ds1_039,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_039.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_039.tif,abnormal,122,test,val,train,train,train,train,train,train,train,test,train,train,test,train,train,test,val,train,val,train,train,train,train,test,train
ds1_040,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_040.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_040.tif,normal,153,train,test,val,val,train,test,train,train,train,train,train,train,val,test,train,train,train,train,test,val,train,train,val,test,train
ds1_041,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_041.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_041.tif,abnormal,139,test,train,train,train,train,test,train,train,train,train,train,train,train,test,train,train,test,train,train,train,val,train,test,train,train
ds1_042,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_042.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_042.tif,normal,120,train,test,train,train,train,train,train,val,train,test,train,test,train,train,train,train,train,train,train,test,val,train,test,train,val
ds1_043,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_043.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_043.tif,normal,132,val,test,train,val,train,val,test,val,train,train,train,train,test,train,train,train,train,test,train,train,train,train,train,train,test
ds1_044,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_044.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_044.tif,abnormal,137,test,train,train,val,train,train,val,train,test,val,test,train,train,train,train,val,train,test,train,val,train,train,test,train,train
ds1_045,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_045.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_045.tif,abnormal,143,train,train,train,test,train,test,train,train,train,train,val,train,train,test,val,train,train,val,test,train,train,train,test,train,train
ds1_046,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_046.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_046.tif,abnormal,147,train,test,train,val,train,train,val,train,test,val,test,train,val,train,train,train,train,test,train,train,train,test,val,train,train
ds1_047,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_047.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_047.tif,abnormal,137,train,train,train,train,test,train,test,train,train,val,val,val,test,train,val,val,train,train,test,val,train,val,train,train,test
ds1_048,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_048.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_048.tif,abnormal,120,train,train,test,val,train,test,train,train,train,train,val,test,train,val,val,train,test,train,val,train,val,val,test,train,train
ds1_049,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_049.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_049.tif,abnormal,150,train,train,test,val,val,train,train,train,train,test,test,val,train,train,train,train,train,train,train,test,train,val,val,train,test
ds1_050,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_050.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_050.tif,abnormal,148,train,train,train,test,val,train,val,val,test,train,train,train,test,train,train,val,val,train,test,train,train,test,val,val,train
ds1_051,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_051.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_051.tif,abnormal,144,train,train,train,train,test,train,train,train,val,test,train,train,train,train,test,val,test,val,train,val,test,val,train,train,val
ds1_052,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_052.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_052.tif,abnormal,126,train,test,train,train,val,train,train,train,test,val,train,train,train,train,test,test,val,train,val,train,test,train,train,val,train
ds1_053,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_053.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_053.tif,normal,112,train,train,test,val,val,test,train,train,train,train,test,train,train,val,train,train,train,test,val,train,test,train,val,train,val
ds1_054,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_054.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_054.tif,abnormal,131,train,train,train,test,train,train,train,train,train,test,test,val,train,val,train,train,val,train,train,test,val,train,test,val,train
ds1_055,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_055.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_055.tif,normal,153,test,train,train,train,train,train,train,train,train,test,train,test,train,train,train,val,test,train,train,train,val,val,train,test,train
ds1_056,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_056.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_056.tif,normal,147,test,train,train,train,train,train,train,test,train,train,train,train,test,train,train,train,train,val,test,train,val,train,val,train,test
ds1_057,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_057.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_057.tif,abnormal,138,val,train,test,train,train,test,train,val,train,train,test,train,train,train,val,train,train,train,test,train,train,train,test,train,train
ds1_058,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_058.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_058.tif,normal,123,train,test,train,train,train,val,train,train,train,test,val,test,train,val,train,train,train,test,train,train,val,val,test,train,train
ds1_059,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_059.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_059.tif,normal,134,val,train,train,test,train,train,val,test,train,train,train,test,train,train,train,train,train,test,train,train,test,train,val,train,train
ds1_060,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_060.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_060.tif,normal,125,test,train,train,train,train,val,train,train,test,val,val,test,train,train,train,train,train,test,val,train,test,train,train,val,train
ds1_061,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_061.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_061.tif,normal,120,train,test,train,train,train,test,train,val,train,train,test,train,train,val,train,val,train,val,test,val,test,train,train,val,train
ds1_062,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_062.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_062.tif,normal,120,train,test,train,train,train,train,train,train,val,test,test,train,val,train,train,val,train,test,train,train,train,train,train,test,train
ds1_063,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_063.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_063.tif,normal,116,test,train,train,train,train,train,test,train,val,train,test,train,train,val,train,val,train,test,val,train,val,train,train,val,test
ds1_064,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_064.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_064.tif,normal,116,train,train,val,test,train,val,train,test,train,val,train,test,val,train,train,train,train,val,train,test,train,train,train,val,test
ds1_065,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_065.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_065.tif,normal,120,train,val,train,test,train,train,val,test,val,val,train,train,val,test,train,test,train,train,train,train,train,test,train,train,train
ds1_066,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_066.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_066.tif,abnormal,136,train,train,train,test,val,val,train,val,test,train,test,val,train,train,train,train,train,test,train,val,train,train,val,val,test
ds1_067,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_067.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_067.tif,normal,120,train,val,train,train,test,val,test,train,train,train,train,train,train,train,test,test,train,train,train,train,train,test,train,train,train
ds1_068,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_068.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_068.tif,normal,135,train,train,val,val,test,val,test,train,val,train,train,train,train,test,train,train,val,train,test,train,train,train,train,train,test
ds1_069,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_069.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_069.tif,abnormal,140,train,test,train,train,train,val,train,train,test,train,train,train,test,train,train,test,train,train,train,train,train,test,train,train,train
ds1_070,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_070.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_070.tif,abnormal,126,test,val,val,train,val,train,test,train,train,train,test,train,train,train,train,train,train,train,train,test,val,train,train,train,test
ds1_071,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_071.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_071.tif,abnormal,135,train,train,val,val,test,test,train,train,val,train,test,train,train,train,train,val,train,train,train,test,test,train,train,train,train
ds1_072,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_072.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_072.tif,normal,143,train,test,train,train,train,train,test,train,train,val,test,train,train,train,train,test,train,train,val,val,test,train,train,train,train
ds1_073,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_073.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_073.tif,normal,153,train,train,test,train,val,train,train,val,test,train,val,train,train,val,test,test,train,train,train,train,test,train,val,val,train
ds1_074,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_074.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_074.tif,normal,137,val,test,train,val,train,train,train,val,val,test,test,val,train,train,train,test,train,train,val,train,train,train,train,test,train
ds1_075,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_075.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_075.tif,abnormal,129,val,train,test,val,val,val,train,val,test,train,val,train,train,train,test,train,train,train,val,test,test,val,train,train,train
ds1_076,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_076.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_076.tif,abnormal,142,train,train,train,train,test,train,train,train,train,test,train,train,train,train,test,train,train,train,test,train,train,train,test,train,val
ds1_077,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_077.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_077.tif,normal,143,train,test,train,train,val,train,train,test,train,train,train,val,test,val,train,test,val,train,train,train,train,val,train,train,test
ds1_078,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_078.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_078.tif,abnormal,126,train,val,train,test,train,train,train,test,train,val,train,test,train,train,train,train,test,train,train,train,train,train,val,train,test
ds1_079,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/infocus/ds1_079.tif,/mnt/lsdf_iai-aida/Daten_Deininger/projects/embryo_project/data_paper/ifzsum/ds1_079.tif,abnormal,126,test,train,train,train,train,test,val,train,train,train,test,train,train,train,train,train,test,train,val,train,train,train,train,test,train
